
Frame 0: start=0, w=30, h=55
Frame 1: start=4950, w=30, h=55
Frame 2: start=9900, w=30, h=55
Frame 3: start=14850, w=30, h=55
Frame 4: start=19800, w=30, h=55
Frame 5: start=24750, w=30, h=55
Frame 6: start=29700, w=30, h=55
Frame 7: start=34650, w=30, h=55
Frame 8: start=39600, w=30, h=55
Frame 9: start=44550, w=30, h=55
Frame 10: start=49500, w=30, h=55
Frame 11: start=54450, w=30, h=55
Frame 12: start=59400, w=30, h=55
Frame 13: start=64350, w=30, h=55
Frame 14: start=69300, w=30, h=55
Frame 15: start=74250, w=30, h=55
Frame 16: start=79200, w=30, h=55
Frame 17: start=84150, w=30, h=55
Frame 18: start=89100, w=30, h=55
Frame 19: start=94050, w=30, h=55
Frame 20: start=99000, w=30, h=55
Frame 21: start=103950, w=30, h=55
Frame 22: start=108900, w=30, h=55
Frame 23: start=113850, w=30, h=55
Frame 24: start=118800, w=30, h=55
Frame 25: start=123750, w=30, h=55
Frame 26: start=128700, w=30, h=55
Frame 27: start=133650, w=30, h=55
