
sprite 0: (30x55), size=4950, unpacked_last=4950
sprite 1: (30x55), size=4950, unpacked_last=9900
sprite 2: (30x55), size=4950, unpacked_last=14850
sprite 3: (30x55), size=4950, unpacked_last=19800
sprite 4: (30x55), size=4950, unpacked_last=24750
sprite 5: (30x55), size=4950, unpacked_last=29700
sprite 6: (30x55), size=4950, unpacked_last=34650
sprite 7: (30x55), size=4950, unpacked_last=39600
sprite 8: (30x55), size=4950, unpacked_last=44550
sprite 9: (30x55), size=4950, unpacked_last=49500
sprite 10: (30x55), size=4950, unpacked_last=54450
sprite 11: (30x55), size=4950, unpacked_last=59400
sprite 12: (30x55), size=4950, unpacked_last=64350
sprite 13: (30x55), size=4950, unpacked_last=69300
sprite 14: (30x55), size=4950, unpacked_last=74250
sprite 15: (30x55), size=4950, unpacked_last=79200
sprite 16: (30x55), size=4950, unpacked_last=84150
sprite 17: (30x55), size=4950, unpacked_last=89100
sprite 18: (30x55), size=4950, unpacked_last=94050
sprite 19: (30x55), size=4950, unpacked_last=99000
sprite 20: (30x55), size=4950, unpacked_last=103950
sprite 21: (30x55), size=4950, unpacked_last=108900
sprite 22: (30x55), size=4950, unpacked_last=113850
sprite 23: (30x55), size=4950, unpacked_last=118800
sprite 24: (30x55), size=4950, unpacked_last=123750
sprite 25: (30x55), size=4950, unpacked_last=128700
sprite 26: (30x55), size=4950, unpacked_last=133650
sprite 27: (30x55), size=4950, unpacked_last=138600
